vin,make,model,year,body
WBAXA71020DZXXXXX,BMW,5 Series,,sedan
WAUZZZ4F95N0XXXXX,Audi,A6,,
WAUZZZ4F95N0XXXXX,Audi,A6,,sedan
WBANA31020B0XXXXX,BMW,5 Series,,sedan
WBAMX11080DUXXXXX,BMW,5 Series,,
WBAMX11080DUXXXXX,BMW,5 Series,,estate
WBS3R91060K3XXXXX,BMW,4 Series,,coupe
WBA1S710107DXXXXX,BMW,1 Series,,hatchback
WBA1S710107DXXXXX,BMW,1 Series,,hatchback
WBS3R91060K3XXXXX,BMW,4 Series,,
WBS3R91060K3XXXXX,BMW,4 Series,,
WBS3R91060K3XXXXX,BMW,4,,coupe
WBAKM21090CYXXXXX,BMW,7 Series,,sedan
WBAKM21090CYXXXXX,BMW,7 Series,,sedan
WAUZZZ4G7FN0XXXXX,Audi,,,
WAUZZZ4G4GN0XXXXX,Audi,A6,2016,
WBAUB51000VJXXXXX,BMW,1 Series,,
WBAUB51000VJXXXXX,BMW,1 Series,,
WAUZZZ4G4GN0XXXXX,Audi,A6,,
WAUZZZ4G4GN0XXXXX,Audi,A6,2015,sedan
WAUZZZ4G4GN0XXXXX,Audi,A6,,
WBAUB51000VJXXXXX,BMW,1 Series,,hatchback
WAUZZZ4G4DN1XXXXX,Audi,A6,,
WBANJ91070CRXXXXX,BMW,5 Series,,
WAUZZZ4G4DN1XXXXX,Audi,,,
WBANJ91070CRXXXXX,BMW,5 Series,,estate
WAUZZZ8K1DA0XXXXX,Audi,A4,,
WAUZZZ4L68D0XXXXX,Audi,Q7,,
WAUZZZ8K4CA0XXXXX,Audi,A4,,
WAUZZZ8K4CA0XXXXX,Audi,A4,,
WAUZZZ8K4CA0XXXXX,Audi,A4,,
WAUZZZ8K4CA0XXXXX,Audi,A4,,
WAUZZZ4L68D0XXXXX,Audi,Q7,2008,
WAUZZZ4L68D0XXXXX,Audi,Q7,,
WAUZZZF49HA1XXXXX,Audi,A4,2017,
WAUZZZ8H05K0XXXXX,Audi,A4,,
WAUZZZ8H05K0XXXXX,Audi,A4,,convertible
WAUZZZF49HA1XXXXX,Audi,A4,,
WAUZZZF49HA1XXXXX,Audi,A4,,
WBA3W31040K3XXXXX,BMW,3 Series,,sedan
WAUZZZF49HA1XXXXX,Audi,A4,,
WBA7K320607GXXXXX,BMW,1 Series,,hatchback
WBA8Y51040G5XXXXX,BMW,3 Series,,hatchback
WBAKV610X00NXXXXX,BMW,X6,,estate
WBAKV610X00NXXXXX,BMW,X Series,,SUV
WBAVU51060A3XXXXX,BMW,3 Series,,estate
WBA4K51080BHXXXXX,BMW,4,,liftback
WBAVF51050A0XXXXX,BMW,3 Series,,
WBAVF51050A0XXXXX,BMW,3 Series,,sedan
WAUZZZ4G2CN0XXXXX,Audi,,,
WBAFW12080C8XXXXX,BMW,5 Series,,sedan
WAUZZZ8XXEB0XXXXX,Audi,A1,,
WAUZZZ8K08N0XXXXX,Audi,A4,,sedan
WAUZZZ8XXEB0XXXXX,Audi,,,hatchback
WAUZZZF53MA0XXXXX,Audi,A5,,
WAUZZZF54MA0XXXXX,Audi,A5,,
WAUZZZF54MA0XXXXX,Audi,A5,,
WAUZZZ8K39A0XXXXX,Audi,A4,,
WAUZZZF53MA0XXXXX,Audi,A5,,
WAUZZZF54MA0XXXXX,Audi,A5,,
WAUZZZF54MA0XXXXX,Audi,A5,,
WAUZZZ8K39A0XXXXX,Audi,A4,,
WBACE51010ENXXXXX,BMW,3 Series,,estate
WAUZZZF54MA0XXXXX,Audi,A5,,liftback
WAUZZZF54MA0XXXXX,Audi,A5,,liftback
WAUZZZF53MA0XXXXX,Audi,A5,,
WB10B0509EZ3XXXXX,BMW,,,motorcycle
WBAFG010X0L1XXXXX,BMW,X Series,,SUV
WUAZZZGY4NA9XXXXX,Audi,,,
WAUZZZF48GA0XXXXX,Audi,A4,,
WAUZZZF48GA0XXXXX,Audi,A4,,
WAUZZZF48GA0XXXXX,Audi,A4,,estate
WAUZZZ4M1JD0XXXXX,Audi,Q7,,van
WAUZZZ4M1JD0XXXXX,Audi,Q7,,SUV
WAUZZZ4M1JD0XXXXX,Audi,Q7,2018,SUV
WBA8H91000A8XXXXX,BMW,3 Series,,estate
WAUZZZ8K5AN0XXXXX,Audi,A4,,
WAULT68E13A1XXXXX,Audi,A4,,
WAULT68E13A1XXXXX,Audi,A4,2003,sedan
WAULT68E13A1XXXXX,Audi,A4,2003,sedan
WAUZZZ8K5AN0XXXXX,Audi,A4,,sedan
WAULT68E13A1XXXXX,Audi,A4,2003,
WAUZZZ8K3FA1XXXXX,Audi,A4,2015,
WBA8Y91030G6XXXXX,BMW,3 Series,,
WBATR55020NDXXXXX,BMW,X Series,,SUV
WBA8Y91030G6XXXXX,BMW,3 Series,,hatchback
WAUZZZ8K3FA1XXXXX,Audi,A4,,
WBAFG010X0L1XXXXX,BMW,X Series,,SUV
WAUZZZ8K3FA1XXXXX,Audi,A4,,
WAUZZZ8K3FA1XXXXX,Audi,A4,,
WAUZZZ8K89N0XXXXX,Audi,A4,,
WAUZZZ8K89N0XXXXX,Audi,A4,,
WAUZZZ8K89N0XXXXX,Audi,A4,,sedan
WAUZZZFY4J21XXXXX,Audi,Q5,,
WAUZZZFY4J21XXXXX,Audi,Q5,2018,SUV
WAUZZZ8U1ER0XXXXX,Audi,Q3,,
WAUZZZ8K5DA0XXXXX,Audi,A4,,
WAUZZZ8K5DA0XXXXX,Audi,A4,,
WAUZZZ8U1ER0XXXXX,Audi,Q3,,SUV
WBANJ91020CRXXXXX,BMW,5 Series,2007,
WBANJ91020CRXXXXX,BMW,5 Series,,estate
WAUZZZ8K5DA0XXXXX,Audi,A4,,
WBAWK71020P1XXXXX,BMW,3 Series,,convertible
WBANC71000B1XXXXX,BMW,5 Series,,
WBANC71000B1XXXXX,BMW,5 Series,,sedan
WBANJ71020B4XXXXX,BMW,5 Series,,
WBANJ71020B4XXXXX,BMW,5 Series,,
WBANJ71020B4XXXXX,BMW,5 Series,,
WBAFH01010L4XXXXX,BMW,X Series,,SUV
WBAVP91000VVXXXXX,BMW,X Series,,SUV
WBAKS410400RXXXXX,BMW,X5,,SUV
WBY1Z610007AXXXXX,BMW,i3,,van
WBY1Z610007AXXXXX,BMW,i,,hatchback
WBAKS410400RXXXXX,BMW,X Series,,SUV
WBAXX310200UXXXXX,BMW,X Series,,SUV
WBAVP11090VPXXXXX,BMW,X Series,,SUV
WBA2J510307EXXXXX,BMW,2 Series,,
WBA2J510307EXXXXX,BMW,2 Series,,coupe
WAUZZZ4G0CN1XXXXX,Audi,,,
WBABE51050JGXXXXX,BMW,3 Series,,
WBAKV210800VXXXXX,BMW,X Series,,SUV
WBABE51050JGXXXXX,BMW,3 Series,,coupe
WBANC71030B6XXXXX,BMW,5 Series,,
WBANC71030B6XXXXX,BMW,5 Series,,sedan
WAUZZZ8KXBA1XXXXX,Audi,A4,,
WAUZZZ4L99D0XXXXX,Audi,Q7,,
WBAFH61000L4XXXXX,BMW,X6,,SUV
WAUZZZ8KXBA1XXXXX,Audi,A4,,
WBAFH61000L4XXXXX,BMW,X Series,,SUV
WAUZZZ4L99D0XXXXX,Audi,Q7,,SUV
WBSCK91090LDXXXXX,BMW,Z Series,,convertible
WBA2E11090P9XXXXX,BMW,2 Series,,
WBAKM81070CYXXXXX,BMW,7 Series,,
WBAKM81070CYXXXXX,BMW,7 Series,,sedan
WBA2E11090P9XXXXX,BMW,2 Series,,multi-purpose vehicle
WBA2E11090P9XXXXX,BMW,2 Series,,estate
WBA2E11090P9XXXXX,BMW,2 Series,,multi-purpose vehicle
WBA6T910307DXXXXX,BMW,2 Series,,
WAUZZZ4H6GN0XXXXX,Audi,A8,,sedan
WBA6T910307DXXXXX,BMW,2 Series,,estate
WBA6T910307DXXXXX,BMW,2 Series,,
WBA6T910307DXXXXX,BMW,2 Series,,multi-purpose vehicle
WBA3V31040P7XXXXX,BMW,4,,convertible
WAUZZZ4H6GN0XXXXX,Audi,,,sedan
WAUZZZ8K9AA1XXXXX,Audi,A4,,
WAULFAFH3DN0XXXXX,Audi,A5,2013,
WAUZZZ8K9AA1XXXXX,Audi,A4,,
WAUZZZ4M6HD0XXXXX,Audi,Q7,2017,
WAUZZZ4M6HD0XXXXX,Audi,Q7,,
WAUZZZ4G8GN0XXXXX,Audi,A6,2016,
WAUZZZ4M6HD0XXXXX,Audi,Q7,,SUV
WAUZZZ4G8GN0XXXXX,Audi,A6,,
WAUZZZ4G8GN0XXXXX,Audi,A6,,
WAUZZZ4G8GN0XXXXX,Audi,A6,,
WAUZZZ4G8GN0XXXXX,Audi,A6,2016,estate
WBAMX12030C9XXXXX,BMW,5 Series,,estate
WAVZZZ8R7BA0XXXXX,Audi,Q5,,
WBAWD11010PWXXXXX,BMW,3 Series,,coupe
WAVZZZ8R7BA0XXXXX,Audi,Q5,,SUV
WBA8J51010K5XXXXX,BMW,3 Series,,estate
WAUZZZ8F7AN0XXXXX,Audi,A5,,
WAUZZZ4BZXN0XXXXX,Audi,A6,,
WAUZZZ8F7AN0XXXXX,Audi,A5,,convertible
WAUZZZ8F7AN0XXXXX,Audi,A5,,convertible
WAUZZZ4BZXN0XXXXX,Audi,A6,,
WAUZZZ8P38A1XXXXX,Audi,A3,,
WBAPM51080A9XXXXX,BMW,3 Series,,
WAUZZZ8P38A1XXXXX,Audi,A3,,hatchback
WBAPM51080A9XXXXX,BMW,3 Series,,sedan
WAUZZZFYXJ21XXXXX,Audi,Q5,,
WAUZZZFYXJ21XXXXX,Audi,Q5,,SUV
WAUAF48H27K0XXXXX,Audi,A4,,
WAUZZZ4F4AN0XXXXX,Audi,A6,,estate
WAUAF48H27K0XXXXX,Audi,A4,,convertible
WAUZZZ4F4AN0XXXXX,Audi,A6,,
WAUZZZ4F4AN0XXXXX,Audi,A6,,
WAUZZZ4G1EN1XXXXX,Audi,A6,,
WBS8M9C57J5LXXXXX,BMW,3 Series,,sedan
WAUZZZ4G1EN1XXXXX,Audi,A6,,
WAUZZZ4G1EN1XXXXX,Audi,A6,2014,
WBS8M9C57J5LXXXXX,BMW,3 Series,,sedan
WBAGL61070DMXXXXX,BMW,7 Series,,sedan
WAUZZZ8RX9A0XXXXX,Audi,Q5,,SUV
WBAVP71070VWXXXXX,BMW,X Series,,SUV
WAUZZZ8P24A1XXXXX,Audi,A3,,
WAUZZZ8P24A1XXXXX,Audi,A3,,hatchback
WAUZZZF29LN0XXXXX,Audi,,,
WBAFB71020LXXXXXX,BMW,X Series,,SUV
WBABT51030LRXXXXX,BMW,Z Series,,convertible
WAUZZZ8P04A0XXXXX,Audi,A3,,
WAUZZZF28KN0XXXXX,Audi,,,
WAUZZZ8P04A0XXXXX,Audi,A3,,hatchback
WBA1C31000E8XXXXX,BMW,1 Series,,hatchback
WBAAP71030PNXXXXX,BMW,3 Series,,estate
WBAKS210300HXXXXX,BMW,X5,,SUV
WBA1S91070VGXXXXX,BMW,1 Series,,hatchback
WBAKS210300HXXXXX,BMW,X5,,SUV
WBAKS210300HXXXXX,BMW,X Series,,SUV
WAUZZZ4G4EN1XXXXX,Audi,A6,2014,
WA1B4AFY6L20XXXXX,Audi,Q5,2020,
WA1B4AFY6L20XXXXX,Audi,Q5,,
WAUZZZ4G4EN1XXXXX,Audi,A6,,
WA1B4AFY6L20XXXXX,Audi,SQ5,,SUV
WAUZZZ4G4EN1XXXXX,Audi,A6,2014,
WBANX11020CZXXXXX,BMW,5 Series,,sedan
WA1AV74L19D0XXXXX,Audi,Q7,2009,
WA1AV74L19D0XXXXX,Audi,Q7,,
WA1AV74L19D0XXXXX,Audi,Q7,,
WA1AV74L19D0XXXXX,Audi,Q7,,SUV
WA1AV74L19D0XXXXX,Audi,Q7,,SUV
WAUZZZ4G9BN0XXXXX,Audi,A7,,
WAUZZZ4G9BN0XXXXX,Audi,A7,,sedan
WAUZZZ4G9BN0XXXXX,Audi,A7,,
WBA7C61070G5XXXXX,BMW,7 Series,,sedan
WBA5V31030AKXXXXX,BMW,3 Series,,
WBA5V31030AKXXXXX,BMW,3 Series,,sedan
WB10J5102LZFXXXXX,BMW,R,,
WB10J5102LZFXXXXX,BMW,,,motorcycle
WBANC51080B1XXXXX,BMW,5 Series,,
WBANC51080B1XXXXX,BMW,5 Series,,sedan
WBAFB710X0LXXXXXX,BMW,X5,2005,
TRUZZZ8J8710XXXXX,Audi,TT,,
WAUZZZ8E46A2XXXXX,Audi,A4,2006,estate
TRUZZZ8J8710XXXXX,Audi,TT,,
WBAFB710X0LXXXXXX,BMW,X Series,,SUV
TRUZZZ8J8710XXXXX,Audi,TT,,coupe
WBA6Y310607DXXXXX,BMW,2 Series,,multi-purpose vehicle
WAUZZZ4E97N0XXXXX,Audi,A8,,
WBANX51090CTXXXXX,BMW,5 Series,,sedan
WAUZZZ4E97N0XXXXX,Audi,A8,,
WBAWN71020PAXXXXX,BMW,3 Series,,convertible
WBA8C51060A0XXXXX,BMW,3 Series,,
WBATR51080LAXXXXX,BMW,X3,2018,
WBA8C51060A0XXXXX,BMW,3 Series,,sedan
WBATR51080LAXXXXX,BMW,X Series,,SUV
WBA8C51060A0XXXXX,BMW,3 Series,,sedan
WAUZZZ4GXHN0XXXXX,Audi,A6,,
WAUZZZ4GXHN0XXXXX,Audi,A6,2017,
WAUZZZ4GXHN0XXXXX,Audi,A6,,estate
WAUZZZ4GXHN0XXXXX,Audi,A6,,estate
WAUZZZ8K39A0XXXXX,Audi,A4,,
WAUZZZ8K39A0XXXXX,Audi,A4,,
WAUZZZ8K39A0XXXXX,Audi,A4,,
WBAXB51040DXXXXXX,BMW,5 Series,,estate
WBAFF41050LZXXXXX,BMW,X Series,,SUV
WAUZZZF24KN1XXXXX,Audi,A6,,
WAUZZZF24KN1XXXXX,Audi,,,
WAUZZZF22KN0XXXXX,Audi,,,
WBAXA11060DXXXXXX,BMW,5 Series,,sedan
WAUZZZ8R1BA0XXXXX,Audi,Q5,,
WAUZZZ8R1BA0XXXXX,Audi,Q5,,
WAUZZZ8R1BA0XXXXX,Audi,Q5,,SUV
WAUZZZ8K2DA1XXXXX,Audi,A4,,
WAUZZZ8K2DA1XXXXX,Audi,A4,,
WAUZZZ8K2DA1XXXXX,Audi,A4,,
WBANX51020CTXXXXX,BMW,5 Series,,sedan
WAUZZZ8K2DA1XXXXX,Audi,A4,2013,estate
WAUZZZF26KN1XXXXX,Audi,A7,,
WAUZZZF26KN1XXXXX,Audi,,,
WBA3D11070F3XXXXX,BMW,3 Series,,sedan
WBAVD91050A0XXXXX,BMW,3 Series,,sedan
WBAVD91050A0XXXXX,BMW,3 Series,,
WBAVD91050A0XXXXX,BMW,3 Series,,sedan
WBA5K11000G3XXXXX,BMW,5 Series,,
WBA5K11000G3XXXXX,BMW,5 Series,,
WBAMX71000C2XXXXX,BMW,5 Series,,estate
WBA5K11000G3XXXXX,BMW,5 Series,,estate
WBAXA110X0DXXXXXX,BMW,5 Series,,sedan
WBAUG51000PWXXXXX,BMW,1 Series,,
WBAUG51000PWXXXXX,BMW,1 Series,,hatchback
WAUZZZ4F67N0XXXXX,Audi,A6,,
WAUZZZ4F67N0XXXXX,Audi,A6,,
WAUZZZ8P16A1XXXXX,Audi,A3,,
WAUZZZ4F67N0XXXXX,Audi,A6,,
WBACR62020LSXXXXX,BMW,X5,,estate
WBACR62020LSXXXXX,BMW,X5,,SUV
WAUZZZ8P16A1XXXXX,Audi,A3,,hatchback
WAUZZZ4F67N0XXXXX,Audi,A6,,
WBA5K31010G7XXXXX,BMW,5 Series,,
WBAVC11050VEXXXXX,BMW,3 Series,,
WBA5K31010G7XXXXX,BMW,5 Series,,estate
WBAVC11050VEXXXXX,BMW,3 Series,,sedan
WAUZZZ8R7GA1XXXXX,Audi,Q5,,
WAUZZZ8R7GA1XXXXX,Audi,Q5,2016,
WAUZZZ4G4EN1XXXXX,Audi,A6,,
WAUZZZ4G4EN1XXXXX,Audi,A6,,
WAUZZZ8R7GA1XXXXX,Audi,Q5,,
WAUZZZ8R7GA1XXXXX,Audi,Q5,,
WAUZZZ4G4EN1XXXXX,Audi,A6,,
WAUZZZ8R7GA1XXXXX,Audi,Q5,,SUV
WBS41AZ070CKXXXXX,BMW,,,sedan
WBA3D31070F2XXXXX,BMW,3 Series,,sedan
WAUZZZ8V4F10XXXXX,Audi,,2015,
WBA1C71010J0XXXXX,BMW,1 Series,,hatchback
WBA1C71010J0XXXXX,BMW,1 Series,,
WAUZZZ4M4HD0XXXXX,Audi,Q7,,
WAUZZZ4M4HD0XXXXX,Audi,Q7,,
WBAYH32030EHXXXXX,BMW,X2,,SUV
WBAYH32030EHXXXXX,BMW,X2,,hatchback
WBSWD91020PYXXXXX,BMW,3 Series,,coupe
WUAZZZ8V5JA9XXXXX,Audi,,,hatchback
WAUZZZ8K69A2XXXXX,Audi,A4,,
WAUZZZ8TXBA0XXXXX,Audi,A5,,
WAUZZZ8K69A2XXXXX,Audi,A4,,
WAUZZZ8TXBA0XXXXX,Audi,A5,,
WAUZZZ8K69A2XXXXX,Audi,A4,,
WBS3U91090J9XXXXX,BMW,4,,convertible
WBA3B11010J7XXXXX,BMW,3 Series,2013,sedan
WBA3B11010J7XXXXX,BMW,3 Series,,sedan
WBA3B11010J7XXXXX,BMW,3 Series,,sedan
WBA8L71060K7XXXXX,BMW,3 Series,,estate
WBAZW410500CXXXXX,BMW,X Series,,SUV
WBAJF11010BJXXXXX,BMW,5 Series,,
WBAAP710X0PJXXXXX,BMW,3 Series,,
WBA4K51090BHXXXXX,BMW,4,,liftback
WBAAP710X0PJXXXXX,BMW,3 Series,,estate
WAUZZZ4M1HD0XXXXX,Audi,Q7,2017,
WBAZW41060L8XXXXX,BMW,X Series,,SUV
WAUZZZ4M1HD0XXXXX,Audi,Q7,,
WAUZZZ4M1HD0XXXXX,Audi,Q7,,
WAUZZZ4M1HD0XXXXX,Audi,Q7,,
WAUZZZ4M1HD0XXXXX,Audi,Q7,,SUV
WAUZZZ4M6GD0XXXXX,Audi,Q7,2016,
WBAUZ75080N0XXXXX,BMW,X Series,,SUV
WAUZZZ4M6GD0XXXXX,Audi,Q7,,
WAUZZZ4M6GD0XXXXX,Audi,Q7,,
WAUZZZ4M6GD0XXXXX,Audi,Q7,,
WAUZZZ4M6GD0XXXXX,Audi,Q7,,SUV
WBA5L51020G2XXXXX,BMW,5 Series,,
WBA8G91000K3XXXXX,BMW,,,estate
WBA5L51020G2XXXXX,BMW,5 Series,,estate
WBA8G91000K3XXXXX,BMW,335,,estate
WBAJN31000CDXXXXX,BMW,5 Series,,
WBATX31020LCXXXXX,BMW,X3,,
WBAJN31000CDXXXXX,BMW,,,
WUAZZZ4239N0XXXXX,Audi,R8,,coupe
WBATX31020LCXXXXX,BMW,X Series,,SUV
WBANX11010CXXXXXX,BMW,5 Series,,sedan
WUAZZZ4239N0XXXXX,Audi,R8,,
WUAZZZ4239N0XXXXX,Audi,R8,,
WUAZZZ4239N0XXXXX,Audi,R8,,
WUAZZZ4239N0XXXXX,Audi,R8,,coupe
WAUZZZF40JA1XXXXX,Audi,A4,,
WAUZZZF40JA1XXXXX,Audi,A4,,
WBAKC8C52AC4XXXXX,BMW,7 Series,2010,van
WAUZZZ4G6HN1XXXXX,Audi,A6,2017,
WAUZZZ4G6HN1XXXXX,Audi,A6,,
WAUZZZ4G6HN1XXXXX,Audi,A6,,
WAUZZZ4G6HN1XXXXX,Audi,A6,,
WBAPF52050A7XXXXX,BMW,3 Series,,
WA1LMAFE9CD0XXXXX,Audi,Q7,,SUV
WAUZZZ8P6CA0XXXXX,Audi,A3,,
WAUZZZ8V5JA9XXXXX,Audi,A3,,
WAUZZZ8V5JA9XXXXX,Audi,A3,,hatchback
WAUZZZ8P6CA0XXXXX,Audi,A3,,
WAUZZZ8P6CA0XXXXX,Audi,A3,,
WAUZZZ8P6CA0XXXXX,Audi,A3,,hatchback
WBAWX31060L9XXXXX,BMW,X3,2012,
WBAWX31060L9XXXXX,BMW,X Series,,SUV
WBADL01060GYXXXXX,BMW,5 Series,,sedan
WAUZZZF49HA0XXXXX,Audi,A4,2017,
WBAEJ11030AFXXXXX,BMW,Z Series,,convertible
WAUZZZ8EX6A0XXXXX,Audi,A4,,
WAUZZZ8EX6A0XXXXX,Audi,A4,,
WAUZZZ8EX6A0XXXXX,Audi,A4,,
WAUZZZF49HA0XXXXX,Audi,A4,,
WAUZZZ4G3HN0XXXXX,Audi,A6,2017,
WAUZZZF49HA0XXXXX,Audi,A4,,
WAUZZZF49HA0XXXXX,Audi,A4,,
WAUZZZF49HA0XXXXX,Audi,A4,,
WBA3E51090F5XXXXX,BMW,3 Series,,sedan
WAUZZZ4G3HN0XXXXX,Audi,A6,,
WAUZZZ4G3HN0XXXXX,Audi,A6,,
WAUZZZ4M3KD0XXXXX,Audi,Q7,,van
WAUZZZ4M3KD0XXXXX,Audi,Q7,,
WAUZZZ4M3KD0XXXXX,Audi,Q7,,
WAUZZZ4M3KD0XXXXX,Audi,Q7,,SUV
WAUZZZ4M3KD0XXXXX,Audi,Q7,,SUV
WBA3J91080J7XXXXX,BMW,3 Series,,sedan
WAUZZZ4F19N0XXXXX,Audi,A6,,
WAUZZZ8T69A0XXXXX,Audi,A5,,
WAUZZZ4F19N0XXXXX,Audi,A6,,
WAUZZZ8T69A0XXXXX,Audi,A5,,
WAUZZZ8T69A0XXXXX,Audi,A5,,coupe
WAUZZZ8T69A0XXXXX,Audi,A5,,
WAUZZZ4H8DN0XXXXX,Audi,A8,2013,
WBAKB8C57BCYXXXXX,BMW,7 Series,2011,
WAUZZZ8TBAA0XXXXX,Audi,A5,,
WAUZZZ8TBAA0XXXXX,Audi,A5,,
WBA3D91090F4XXXXX,BMW,3 Series,,sedan
WAUZZZ8KXFA0XXXXX,Audi,A4,,
WAUZZZ8KXFA0XXXXX,Audi,A4,2015,
WAUZZZ8KXFA0XXXXX,Audi,A4,,
WAUZZZ8KXFA0XXXXX,Audi,A4,,
WAUZZZ8KXFA0XXXXX,Audi,A4,,
WBA5V31040FJXXXXX,BMW,3 Series,,
WBA5V31040FJXXXXX,BMW,3 Series,,
WBA5V31040FJXXXXX,BMW,3 Series,,
WBSKG91020E5XXXXX,BMW,3 Series,,coupe
WBY71AW08PFNXXXXX,BMW,4 Series,,sedan
WBANC71080B6XXXXX,BMW,5 Series,,
WBAWD72070PVXXXXX,BMW,3 Series,,
WBANC71080B6XXXXX,BMW,5 Series,,
WBANC71080B6XXXXX,BMW,5 Series,,sedan
WBS8M910805DXXXXX,BMW,3 Series,,
WBAJA91050B3XXXXX,BMW,5 Series,,
WAUZZZF18KD0XXXXX,Audi,Q8,,SUV
WBY71AW08PFNXXXXX,BMW,,,sedan
WAUZZZ4F49N0XXXXX,Audi,A6,,
WAUZZZ4F49N0XXXXX,Audi,A6,,
WBAWY310600AXXXXX,BMW,X3,,crossover
WAUZZZ4F49N0XXXXX,Audi,A6,,
WBA1C71080E9XXXXX,BMW,1 Series,,hatchback
WBAMX31030C7XXXXX,BMW,5 Series,,estate
WBAVG11090A2XXXXX,BMW,3 Series,,sedan
WBAVP31030VKXXXXX,BMW,X1,,
WBAVP31030VKXXXXX,BMW,X Series,,SUV
WBA5N21070D4XXXXX,BMW,5 Series,,
WBA5N21070D4XXXXX,BMW,5 Series,,hatchback
WAUZZZ8P79A1XXXXX,Audi,A3,,
WAUZZZ8P79A1XXXXX,Audi,A3,,hatchback
WAUZZZ8U3HR0XXXXX,Audi,Q3,2017,
WAUZZZ8U3HR0XXXXX,Audi,Q3,,
WBAJE31070G5XXXXX,BMW,5 Series,,sedan
WAUZZZ8U3HR0XXXXX,Audi,Q3,,SUV
WBAFF41000L1XXXXX,BMW,X Series,,SUV
WBSNB93526B5XXXXX,BMW,5 Series,2006,sedan
WBSNB93526B5XXXXX,BMW,5 Series,,sedan
WBAJL51000BCXXXXX,BMW,5 Series,,estate
WBAFW31030C5XXXXX,BMW,5 Series,,
WBAFW31030C5XXXXX,BMW,5 Series,,sedan
WBAXA71040C5XXXXX,BMW,5 Series,,
WBAXA71040C5XXXXX,BMW,5 Series,,sedan
WBAXA71040C5XXXXX,BMW,5 Series,,sedan
WBAKV410900PXXXXX,BMW,X Series,,SUV
WAUZZZ4F17N0XXXXX,Audi,A6,2006,sedan
WAUZZZ4F17N0XXXXX,Audi,A6,,
WBAKT010800ZXXXXX,BMW,X Series,,SUV
WAUZZZ4F17N0XXXXX,Audi,A6,,
WBAVU51090A3XXXXX,BMW,3 Series,,estate
WBAUD71020P4XXXXX,BMW,1 Series,,
WBA3Y31040D7XXXXX,BMW,3 Series,,hatchback
WBAUD71020P4XXXXX,BMW,1 Series,,
WBAUD71020P4XXXXX,BMW,1 Series,,hatchback
WBA5K31090D9XXXXX,BMW,5 Series,,estate
WBANX91080CUXXXXX,BMW,5 Series,,sedan
WBA7K310907FXXXXX,BMW,,,
WB10J310XJZ9XXXXX,BMW,,,motorcycle
WBATX31030LCXXXXX,BMW,X3,,
WBATX31030LCXXXXX,BMW,X Series,,SUV
WAUZZZ8X6GB0XXXXX,Audi,,,hatchback
WAUZZZ8X6GB0XXXXX,Audi,A1,,
WBAJC310X0WAXXXXX,BMW,5 Series,,
WBA5U91000FJXXXXX,BMW,3 Series,,
WBAJC310X0WAXXXXX,BMW,5 Series,,sedan
WBAJC310X0WAXXXXX,BMW,5 Series,,sedan
WAUEFAFLXFN0XXXXX,Audi,A4,2015,sedan
WAUEFAFLXFN0XXXXX,Audi,A4,,
WAUEFAFLXFN0XXXXX,Audi,A4,,
WAUEFAFLXFN0XXXXX,Audi,A4,,sedan
WA1LFAFP9DA0XXXXX,Audi,Q5,2013,SUV
WA1LFAFP9DA0XXXXX,Audi,Q5,,
WA1LFAFP9DA0XXXXX,Audi,Q5,,SUV
WAUZZZ8K69A1XXXXX,Audi,A4,,
WAUZZZ8K69A1XXXXX,Audi,A4,,
WAUZZZ8K69A1XXXXX,Audi,A4,2009,
WBA4E91040G2XXXXX,BMW,4,,liftback
WBAUD71010P4XXXXX,BMW,1 Series,,hatchback
WAUZZZ8K1FA0XXXXX,Audi,A4,,
WAUZZZ8K1FA0XXXXX,Audi,A4,,
WBA8J91060A5XXXXX,BMW,3 Series,,
WBA8J91060A5XXXXX,BMW,3 Series,,
WBA8J91060A5XXXXX,BMW,3 Series,,estate
WBA4K51090BHXXXXX,BMW,4 Series,,sedan
WAUZZZ8U6ER1XXXXX,Audi,Q3,2014,
WBA4K51090BHXXXXX,BMW,4,,liftback
WAUZZZ8U6ER1XXXXX,Audi,Q3,,
WAUZZZ8U6ER1XXXXX,Audi,Q3,,
WAUZZZ8U6ER1XXXXX,Audi,Q3,2015,
WAUZZZ8U6ER1XXXXX,Audi,Q3,,SUV
WAUZZZ8V2JA0XXXXX,Audi,,2018,
WAUBFCFL1DN0XXXXX,Audi,A4,2013,
WAUBFCFL1DN0XXXXX,Audi,A4,2013,sedan
WAUBFCFL1DN0XXXXX,Audi,A4,,
WAUBFCFL1DN0XXXXX,Audi,A4,,
WAUBFCFL1DN0XXXXX,Audi,A4,,sedan
WAUBFCFL1DN0XXXXX,Audi,A4,,sedan
WAUZZZ4F85N0XXXXX,Audi,A6,,sedan
WBA8T3102JG8XXXXX,BMW,3 Series,,hatchback
WAUZZZ4F85N0XXXXX,Audi,A6,,
WAUZZZ4F85N0XXXXX,Audi,A6,,
WAUZZZ4F85N0XXXXX,Audi,A6,,
WAUZZZ4F85N0XXXXX,Audi,A6,,sedan
TRUZZZ8J5710XXXXX,Audi,TT,,
TRUZZZ8J5710XXXXX,Audi,TT,,coupe
WAUGMAF46KA1XXXXX,Audi,A4,,sedan
TRUZZZ8J6710XXXXX,Audi,TT,,
